"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20964","licences of employee","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/adminfunc.spec.js","",""
"","25532","Quick Launch - Timesheets","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","15543","Session should end after logout","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","24566","employee attendance record check","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","8346","Report-to","chromium","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","8983","Open Leave module","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","14692","Verify Search button visible","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","24616","Help menu - Employee User Guide","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","24773","Emergency Contacts","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","15705","Verify Add Employee page fields visible","firefox","2026-05-29","passed","2026-05-29","PIM - Add Employee","PIM/addEmployee.spec.js","",""
"","13015","Verify Employee Name field visible","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","17944","Verify Leave Type dropdown visible","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","25899","punch in/out with time check","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","30109","Tax Exemptions","firefox","2026-05-29","broken","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","30042","Tax Exemptions","chromium","2026-05-29","broken","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","9664","Login with invalid password","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","18362","Employees on Leave Today","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","13065","entitlements","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","22888","Job Titles","firefox","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","24094","Open Nationalities page","chromium","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","17085","Expense Types","webkit","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","28234","Verify Add Employee page fields visible","webkit","2026-05-29","passed","2026-05-29","PIM - Add Employee","PIM/addEmployee.spec.js","",""
"","21319","Help menu - FAQs","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","20190","Verify Cancel button returns to PIM page","webkit","2026-05-29","passed","2026-05-29","PIM - Employee Validation Tests","PIM/employeevalidation.spec.js","",""
"","29705","project info with time check","chromium","2026-05-29","passed","2026-05-29","Time Tests","Time/projectinfo.spec.js","",""
"","22309","Validate required fields on submit","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Validation Tests","PIM/employeevalidation.spec.js","",""
"","18184","Edit Claim","firefox","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","3940","Login with empty password","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","21248","Configure Performance","firefox","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","25449","employee reports with time check","chromium","2026-05-29","passed","2026-05-29","Time Tests","Time/Reports.spec.js","",""
"","17484","employee Reviews","chromium","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","16147","Search for user","chromium","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","24292","Verify Recruitment tab","webkit","2026-05-29","passed","2026-05-29","Recruitment Tests","Recruitment/recruitment.spec.js","",""
"","30162","Verify Add Employee page loads correctly","webkit","2026-05-29","broken","2026-05-29","PIM - Employee Validation Tests","PIM/employeevalidation.spec.js","",""
"","9172","to validate the timesheet","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/timesheet.spec.js","",""
"","10295","Employee Claims","firefox","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","15005","My Info","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","14945","Employee Trackers","chromium","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","28048","Checking the role software engineer","webkit","2026-05-29","passed","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","22478","Report-to","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","4537","Login with empty fields","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","30016","checking the candidate who applied in offline mode","webkit","2026-05-29","broken","2026-05-29","Candidates Tests","Recruitment/candidates.spec.js","",""
"","18061","Approved leave","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","20789","Checking the status","webkit","2026-05-29","passed","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","22283","Help menu - Mobile App","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","14566","My Claims","chromium","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
